
295,IN_AutoMutualInfoStats_40_gaussian_ami11,IN_AutoMutualInfoStats_40_gaussian,"information,correlation,AMI",IN_AutoMutualInfoStats_40_gaussian.ami11
296,IN_AutoMutualInfoStats_40_gaussian_ami12,IN_AutoMutualInfoStats_40_gaussian,"information,correlation,AMI",IN_AutoMutualInfoStats_40_gaussian.ami12
297,IN_AutoMutualInfoStats_40_gaussian_ami13,IN_AutoMutualInfoStats_40_gaussian,"information,correlation,AMI",IN_AutoMutualInfoStats_40_gaussian.ami13
298,IN_AutoMutualInfoStats_40_gaussian_ami14,IN_AutoMutualInfoStats_40_gaussian,"information,correlation,AMI",IN_AutoMutualInfoStats_40_gaussian.ami14
299,IN_AutoMutualInfoStats_40_gaussian_ami15,IN_AutoMutualInfoStats_40_gaussian,"information,correlation,AMI",IN_AutoMutualInfoStats_40_gaussian.ami15
300,IN_AutoMutualInfoStats_40_gaussian_ami16,IN_AutoMutualInfoStats_40_gaussian,"information,correlation,AMI",IN_AutoMutualInfoStats_40_gaussian.ami16
301,IN_AutoMutualInfoStats_40_gaussian_ami17,IN_AutoMutualInfoStats_40_gaussian,"information,correlation,AMI",IN_AutoMutualInfoStats_40_gaussian.ami17
302,IN_AutoMutualInfoStats_40_gaussian_ami18,IN_AutoMutualInfoStats_40_gaussian,"information,correlation,AMI",IN_AutoMutualInfoStats_40_gaussian.ami18
303,IN_AutoMutualInfoStats_40_gaussian_ami19,IN_AutoMutualInfoStats_40_gaussian,"information,correlation,AMI",IN_AutoMutualInfoStats_40_gaussian.ami19
304,IN_AutoMutualInfoStats_40_gaussian_ami20,IN_AutoMutualInfoStats_40_gaussian,"information,correlation,AMI",IN_AutoMutualInfoStats_40_gaussian.ami20
305,IN_AutoMutualInfoStats_40_gaussian_ami21,IN_AutoMutualInfoStats_40_gaussian,"information,correlation,AMI",IN_AutoMutualInfoStats_40_gaussian.ami21
306,IN_AutoMutualInfoStats_40_gaussian_ami22,IN_AutoMutualInfoStats_40_gaussian,"information,correlation,AMI",IN_AutoMutualInfoStats_40_gaussian.ami22
307,IN_AutoMutualInfoStats_40_gaussian_ami23,IN_AutoMutualInfoStats_40_gaussian,"information,correlation,AMI",IN_AutoMutualInfoStats_40_gaussian.ami23
